Name,ethnolog_Size,ethnolog_Vitality,L1 speakers,L2 speakers,New wiki,Size of Wikipedia (Articles Column),language family,geographical location,geo location analysis,LDC,Is in Google,wiki pages,natural language processing,part of speech,grammar parsing| grammar parser,question answering,text classification,universal dependencies,ACL count,Is in XLMR,ELRA,Hugginface,kaggle,CC Size,Is in Facebook,Joshi Classes,mBERT,HF new
,https://www.ethnologue.com/size-and-vitality/mdd,,,,,https://en.wikipedia.org/wiki/List_of_Wikipedias#Details_table,,,,https://catalog.ldc.upenn.edu/search,https://translate.google.com/intl/en/about/languages/,,,,,,,https://universaldependencies.org/,,https://arxiv.org/pdf/1911.02116.pdf,https://lremap.elra.info/?q=english,https://huggingface.co/datasets,https://www.kaggle.com/datasets,https://commoncrawl.github.io/cc-crawl-statistics/plots/languages,"if the language is in 'Facebook' sheet, put 1, otherwise 0",,,
,size,vitality,,,,copy two columns in sheet  'wiki',,,,,0/1,,,,,,,,,,,,,copy numbers in last column,0/1,,,
Ale,mid,stable,,,,,,,,,,,,,,,,,57,,,,,,,,,
Alekano,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Alemannic,large,stable,"7,162,000",,"28,926","68,048",Indo-European,Switzerland,Western Europe,,,"27,994",,,,,,,0,,1,,,,,1,,
Aleut,small,endangered,,,,,,,,,,,137,236,3,23,8,,0,,,,,,,0,,
Algerian Sign Language,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Algonquin,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Ali,mid,stable,,,,,,,,,,,,,,,,,1128,,,,,,,,,
Alladian,mid,stable,,,,,,,,,,,1,0,0,0,0,,0,,,,,,,0,,
Allar,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Alngith,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Alor,mid,stable,,,,,,,,,,,,,,,,,7,,,,,,,,,
Alta,mid,institutional,,,,,,,,,,,,,,,,,3,,,,,,,,,
Altai,mid,institutional,"55,720",,"1,044","1,004",Turkic,"Russia,  Altai Republic",Eastern Europe,,,"2,733",192,173,2,28,39,,1,,,,,,,0,,
Alugu,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Alumu-Tesu,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Alune,mid,endangered,,,,,,,,,,,5,13,0,2,0,,0,,,,,,,0,,
Aluo,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Alur,large,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Alutor,small,endangered,,,,,,,,,,,10,25,0,1,0,,0,,,,,,,0,,
Alviri-Vidari,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Alyawarra,small,stable,,,,,,,,,,,49,18,0,27,2,,0,,,,,,,0,,
Ama,mid,stable,,,,,,,,,,,6160,3290,64,1270,1240,,158,,,,,,,0,,
Amahai,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Amahuaca,small,endangered,,,,,,,,,,,7,9,0,1,3,,0,,,,,,,0,,
Amaimon,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Amako,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Amal,small,stable,,,,,,,,,,,,,,,,,6,,,,,,,,,
Amam,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Amami Koniya Sign Language,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Amami-Oshima,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Amanayé,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Amara,small,endangered,,,,,,,,,,,724,352,7,103,158,,1,,,,,,,0,,
Amarakaeri,small,endangered,,,,,,,,,,,4,4,0,0,2,,0,,,,,,,0,,
Amarasi,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Amazigh,large,institutional,"6,000,000",6425,,"6,209",Afro-Asiatic,Algeria,Northern Africa,,,"15,516",,,,,,,11,,,,,,1,1,,
Amba,mid,endangered,,,,,,,,,,,,,,,,,2,,,,,,,,,
Ambae,mid,endangered,,,,,,,,,,,3,33,0,0,1,,0,,,,,,,0,,
Ambai,mid,endangered,,,,,,,,,,,12,13,0,3,4,,0,,,,,,,0,,
Ambakich,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ambel,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ambelau,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ambele,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Amblong,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ambo,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ambrak,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ambrym,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ambul,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ambulas,mid,stable,,,,,,,,,,,2,13,0,0,1,,0,,,,,,,0,,
Amdang,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Amele,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
American Sign Language,mid,stable,,,,,,,,,,,,,,,,,24,,3,,,,,,,
Amharic,large,institutional,"32,000,000","25,000,000","15,035","14,986",Afro-Asiatic,Ethiopia,Eastern Africa,3,1,"46,217",1180,1030,7,275,227,1,42,0.8,-,20,,0.0034,1,2,,21
Ami,small,endangered,,,,,,,,,,,,,,,,,10,,,,,,,,,
Amio-Gelimi,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Amis,mid,endangered,,,825,,,,,,,,1310,1020,22,237,197,,1,,,,,,,0,,
Amo,mid,stable,,,,,,,,,,,1250,1340,23,262,279,,149,,,,,,,0,,
Amol,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ampanang,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Amri Karbi,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Amto,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Amundava,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Amurdak,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Amuzgo,mid,stable,,,,,,,,,,,13,14,0,0,2,,0,,,,,,,0,,
Anaang,large,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Anakalangu,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Anal,mid,stable,,,,,,,,,,,,,,,,,3429,,,,,,,,,
Anam,small,endangered,,,,,,,,,,,,,,,,,1,,,,,,,,,
Anambé,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Anamuxra,small,stable,,,,,,,,,,,0,9,0,0,0,,0,,,,,,,0,,
Anasi,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Andaandi,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Andai,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Andajin,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Andaman Hindi Creole,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Andaqui,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Andarum,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Andegerebinha,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Andh,mid,endangered,,,,,,,,,,,,,,,,,1,,,,,,,,,
Andi,small,endangered,,,,,,,,,,,1260,1400,24,398,379,,0,,,,,,,0,,
Andio,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Andoa,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Andoque,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Andra-Hus,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
