Name,ethnolog_Size,ethnolog_Vitality,L1 speakers,L2 speakers,New wiki,Size of Wikipedia (Articles Column),language family,geographical location,geo location analysis,LDC,Is in Google,wiki pages,natural language processing,part of speech,grammar parsing| grammar parser,question answering,text classification,universal dependencies,ACL count,Is in XLMR,ELRA,Hugginface,kaggle,CC Size,Is in Facebook,Joshi Classes,mBERT,HF new
,https://www.ethnologue.com/size-and-vitality/mdd,,,,,https://en.wikipedia.org/wiki/List_of_Wikipedias#Details_table,,,,https://catalog.ldc.upenn.edu/search,https://translate.google.com/intl/en/about/languages/,,,,,,,https://universaldependencies.org/,,https://arxiv.org/pdf/1911.02116.pdf,https://lremap.elra.info/?q=english,https://huggingface.co/datasets,https://www.kaggle.com/datasets,https://commoncrawl.github.io/cc-crawl-statistics/plots/languages,"if the language is in 'Facebook' sheet, put 1, otherwise 0",,,
,size,vitality,,,,copy two columns in sheet  'wiki',,,,,0/1,,,,,,,,,,,,,copy numbers in last column,0/1,,,
Kuni-Boazi,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Kunigami,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kunimaipa,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Kunja,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kunjen,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Kunyi,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kunza,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Kuo,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kuot,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Kupa,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kupia,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kupsapiiny,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kur,small,endangered,,,,,,,,,,,,,,,,,15,,,,,,,,,
Kurama,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kuranko,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
kurdish (kurmanji),large,institutional,15 million,,"53,804",103927,Indo-European,Kurdistan,Western Asia,1,1,50171,952,826,18,195,211,,5,66,,20,,,,1,,20
kurdish (sorani),large,institutional,8 million,,"41,971","163,754",Indo-European,Kurdistan,Western Asia,,,"34,921",908,783,16,195,205,,10,,,,,,,1,,
Kuri,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kuria,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kurichiya,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kurmukar,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kurnai,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kurrama,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kursav,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kurti,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kurtokha,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kurudu,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kurumba,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Kurux,large,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Kuruáya,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kusaal,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kusaghe,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kushi,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kuskokwim,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kusu,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kusunda,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Kusur-Myet,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kutenai,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Kutep,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kuthant,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kutong,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kutto,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kutu,mid,endangered,,,,,,,,,,,,,,,,,1,,,,,,,,,
Kuturmi,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kuuk Thayorre,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Kuuk-Yak,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kuuku-Ya’u,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Kuvale,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kuvi,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Kuwaa,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kuwaataay,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kuwema,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kwa,small,endangered,,,,,,,,,,,,,,,,,3,,,,,,,,,
Kwaami,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kwadi,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kwaio,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Kwaja,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kwakum,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kwakwala,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Kwambi,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kwamera,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Kwami,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Kwandu,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kwang,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kwanga,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kwangali,mid,institutional,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Kwanja,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kwara’ae,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kwasio,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Kwaya,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kwaza,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Kwa’,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kwegu,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kwer,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kwerba,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Kwerba Mamberamo,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kwere,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kwerisa,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kwese,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kwesten,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kwini,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kwinsu,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kwinti,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kwoma,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Kwomtari,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Kw’adza,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kyak,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kyaka,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Kyanga,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kyenele,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kyerung,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kyoli,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kyrgyz,large,institutional,4.3 million,,"81,453","80,873",Turkic,"Kyrgyzstan,  China",Central Asia,,1,"108,678",,,,,,,3,1.2,,21,,0.0049,1,1,1,22
Kâte,small,institutional,,,,,,,,,,,,,,,,,0,,,,,,,,,
Kélé,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
K’iche’,large,institutional,,,,,,,,,,,,,,,,,1,,,,,,1,,,
Laal,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Laalaa,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Laari,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Laba,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Label,small,stable,,,,,,,,,,,,,,,,,900,,,,,,,,,
Labir,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Labu,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Lacandon,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Lachi,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Lacid,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ladakhi,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Ladin,mid,endangered,"41,129",,"59,732","1,483",Indo-European,Italy,Southern Europe,,,"2,184",,,,,,,0,,,,,,,0,,
Ladino,mid,endangered,"60,000",,"3,605","3,605",Indo-European,"Bosnia and Herzegovina, France, Israel,  Turkey",Southern Europe,,,"12,942",,,,,,,0,,,,,,,1,,
Ladji Ladji,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Laeko-Libuat,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lafofa,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Laghu,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Laghuu,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lagwan,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Laha,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Lahanan,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lahnda,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lahta,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lahu,mid,institutional,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Lahu Shi,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Laimbue,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Laiyolo,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lak,mid,institutional,"152,050",,"1,264","1,232",Northeast Caucasian,Dagestan,Eastern Europe,,,"13,790",1490,819,23,269,215,,7,,,,,,,1,,
Laka,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lakalei,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lakha,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Laki,large,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lakkia,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Lakon,small,institutional,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lakondê,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lakota,small,endangered,,,,,,,,,,,81,134,0,8,0,,2,,,,,,,,,
Lakurumau,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lala,small,stable,,,,,,,,,,,,,,,,,1,,,,,,,0,,
Lala-Bisa,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lala-Roba,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lalia,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lalo,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Lalu,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lama,mid,stable,,,,,,,,,,,,,,,,,1,,,,,,,,,
Lamaholot,mid,institutional,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Lamalama,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lamalera,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lamang,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Lamatuka,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lamba,mid,stable,,,,,,,,,,,0,311,3,134,237,,1,,,,,,,0,,
Lambadi,large,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lamboya,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lambya,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lame,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lamenu,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lamja-Dengsa-Tola,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lamkang,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lamnso’,mid,institutional,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Lamogai,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lampung Api,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Lampung Nyo,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lamu,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Landoma,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Langbashe,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Langi,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Lango,large,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Lang’e,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lanima,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lanoh,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lao,large,institutional,30 million,,"4,019","3,867",Kra–Dai,"Laos,  ASEAN,  Thailand,  Cambodia",South-Eastern Asia,6,1,"11,922",4040,1830,22,1720,754,,5,0.6,-,15,,0.0038,1,2,,15
Laomian,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Laopang,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Laos Sign Language,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Laragia,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Lardil,small,endangered,,,,,,,,,,,38,72,2,1,0,,1,,,,,,,0,,
Larevat,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lari,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Larike-Wakasihu,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Laro,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Larteh,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Laru,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lasalimu,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lasgerdi,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lasi,mid,stable,,,,,,,,,,,,,,,,,2,,,,,,,,,
Latgalian,mid,stable,"150,000–200,000",,"1,014","1,010",Indo-European,"Latvia, Russia",Eastern Europe,,,"3,216",,,,,,,0,,,,,,,1,,
Latin,small,endangered,,,"137,042","136,131",Indo-European,Holy See,Southern Europe,1,1,"272,477","22,300","25,200",426,"4,690","4,770",1,116,2.5,7,19,,0.1095,1,3,1,22
Latu,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Latundê,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Latvian,large,institutional,1.75 million,,"114,444","109,118",Indo-European,Latvia,Northern Europe,-,1,"445,188",1630,1360,27,317,223,1,39,8.8,9,38,,0.092,1,3,1,46
Latvian Sign Language,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lau,mid,stable,,,,,,,,,,,12000,4400,135,2710,3930,,24,,,,,,,0,,
Laua,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lauan,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lauje,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Laura,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lavatbura-Lamusong,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lave,mid,stable,,,,,,,,,,,,,,,,,1,,,,,,,0,,
Laven,mid,stable,,,,,,,,,,,,,,,,,1,,,,,,,,,
Lavi,small,endangered,,,,,,,,,,,,,,,,,1,,,,,,,,,
Lavrung,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lavukaleve,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Lawa,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lawangan,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lawu,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lawunuia,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Layakha,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Laz,mid,endangered,,,,,,,,,,,131,170,2,31,22,1,14,,,,,,,0,,
La’bi,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Leco,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Leelau,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Leeward Caribbean English Creole,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lefa,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lega-Mwenga,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lega-Shabunda,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Legbo,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Legenyem,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lehali,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Leipon,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lelak,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lele,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Lelemi,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Lelepa,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lembata,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lembena,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lemerig,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lemio,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lemoro,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lenakel,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Lenca,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lendu,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Lengilu,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lengo,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lengola,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Leningitij,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lenje,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lenkau,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lenyima,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lepcha,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Lepki,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lere,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lese,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Lesser Antillean French Creole,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Letemboi,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Leti,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Levuka,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lewo,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Lewo Eleng,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lewotobi,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Leyigha,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lezgi,mid,institutional,"800,000",,"4,305","4,214",Northeast Caucasian,Dagestan,Eastern Europe,,,"12,402",,,,,,,1,,,,,,,1,,
Lhao Vo,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lhokpu,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lhomi,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Lhowa,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Liabuku,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Liana-Seti,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Liberian English,large,institutional,,,,,,,,,,,,,,,,,0,,,,,,,,,
Libido,mid,institutional,,,,,,,,,,,,,,,,,0,,,,,,,,,
Libinza,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Libyan Sign Language,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lidzonka,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ligbi,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ligenza,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ligurian,mid,institutional,"600,000",,"11,000","10,779",Indo-European,"Italy, Monaco, France",Southern Europe,,,"25,892",,,,,,,0,,,,,,1,1,,
Lihir,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lijili,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lik,small,endangered,,,,,,,,,,,,,,,,,151,,,,,,,,,
Lika,mid,stable,,,,,,,,,,,,,,,,,5,,,,,,,,,
Liki,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Likila,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Likuba,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Likum,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Likwala,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lilau,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lillooet,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Limassa,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Limba,mid,institutional,,,,,,,,,,,,,,,,,0,,,,,,,,,
Limbu,small,institutional,,,,,,,,,,,133,108,0,32,26,,1,,,,,0,,0,,
Limbum,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Limburgish,large,institutional,1.3 million,,"13,634","13,497",Indo-European,Netherlands,Western Europe,,,"64,997",,,,,,,0,,,9,,,1,1,,10
Limi,mid,stable,,,,,,,,,,,,,,,,,147,,,,,,,,,
Limilngan,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Limola,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lingala,large,institutional,15 to 20 million,25 million,"3,270","3,234",Niger–Congo,"Democratic Republic of the Congo, Republic of the Congo",Middle Africa,,,"8,465",121,151,1,14,11,,1,,,8,,0.0003,1,1,,9
Lingao,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lingua Franca,small,extinct,0,0,"4,176","4,143",,,,,,"6,500",5,2,0,0,0,,2,,,,,,,,,
Lipo,mid,stable,,,,,,,,,,,,,,,,,1,,,,,,,,,
Lisabata-Nuniali,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lisela,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lish,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lishana Deni,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lishán Noshan,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lisu,mid,institutional,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Lithuanian,large,institutional,3.0 million,,"203,479","199,887",Indo-European,"Lithuania,  European Union,  Poland",Northern Europe,2,1,"487,696","2,120","2,150",43,335,358,1,33,13.7,4,37,,0.1714,1,3,1,44
Lithuanian Sign Language,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Litzlitz,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Liv,small,endangered,,,,,,,,,,,1710,1970,51,577,420,,60,,,,,,,0,,
Livvi-Karelian,mid,endangered,"31,000",,"3,864","3,668",Uralic,"Finland,Republic of Karelia",Northern Europe,,,"9,791",,,,,,,0,,,,,,,1,,
Li’o,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lo-Toga,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Loarki,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lobala,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lobi,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Lobu,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lodhi,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Logba,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Logo,mid,stable,,,,,,,,,,,,,,,,,29,,,,,,,,,
Logol,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Logorik,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lohar,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lohorung,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lokaa,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Loko,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Lokoya,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lola,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lolak,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lole,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lolo,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Loloda,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lolopo,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Loma,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Lomaiviti,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lomavren,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lombard,large,stable,3.8 million,,"52,523","49,373",Indo-European,"Italy, Switzerland",Southern Europe,,,"116,277",868,704,11,192,138,,2,,,,,,,1,1,
Lombi,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lombo,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Lomwe,large,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
